"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"30854","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/167556","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","18-Oct-2025","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","710562"
"30855","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/167556","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","23-Jun-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","288047"
"30856","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/167559","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","19-Sep-2025","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","749175"
"30857","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/167559","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","23-Jun-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","249451"
"30858","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/168140","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","20-Aug-2025","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","412548"
"30859","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/168140","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","23-Jun-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","118642"
"30860","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/168569","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","20-Aug-2025","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","749175"
"30861","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/168569","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","23-Jun-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","249182"
"30862","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/167557","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","12-Mar-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","492762"
"30863","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18232/2025-2026/170279","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","12-Mar-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","747000"
"30864","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2025-2026/167563","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","12-Mar-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","602250"
"30865","Uttar Pradesh","Street lights","WS/MP18232/2026-2027/177336","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","23-Jun-2026","SHRI GANPATI CONSTRUCTION COMPANY","Payment Success","99000"
"30866","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2026-2027/279104","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","BABA VISHWANATH ENTERPRISES","Payment Success","596411"
"30867","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198374","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","BABA VISHWANATH ENTERPRISES","Payment Success","572897"
"30868","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18224/2025-2026/232896","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","17-Feb-2026","BABA VISHWANATH ENTERPRISES","Payment Success","1992861"
"30869","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18224/2025-2026/232897","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","20-Mar-2026","BABA VISHWANATH ENTERPRISES","Payment Success","737773"
"30870","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18224/2025-2026/276437","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","18-Jun-2026","BABA VISHWANATH ENTERPRISES","Payment Success","961693"
"30871","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/232901","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","23-Dec-2025","BABA VISHWANATH ENTERPRISES","Payment Success","1070305"
"30872","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/232898","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","22-Dec-2025","BABA VISHWANATH ENTERPRISES","Payment Success","1318747"
"30873","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/232902","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","23-Dec-2025","BABA VISHWANATH ENTERPRISES","Payment Success","1679233"
"30874","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/232895","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","23-Dec-2025","BABA VISHWANATH ENTERPRISES","Payment Success","948082"
"30875","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/232899","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","23-Dec-2025","BABA VISHWANATH ENTERPRISES","Payment Success","1133844"
"30876","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/232900","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","23-Dec-2025","BABA VISHWANATH ENTERPRISES","Payment Success","1930931"
"30877","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2026-2027/279130","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","BABA VISHWANATH ENTERPRISES","Payment Success","571670"
"30878","Uttar Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18224/2026-2027/279129","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","BABA VISHWANATH ENTERPRISES","Payment Success","827366"
"30879","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2026-2027/279107","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","BABA VISHWANATH ENTERPRISES","Payment Success","347694"
"30880","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198379","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","BABA VISHWANATH ENTERPRISES","Payment Success","936959"
"30881","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198376","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","BABA VISHWANATH ENTERPRISES","Payment Success","363000"
"30882","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198377","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","BABA VISHWANATH ENTERPRISES","Payment Success","299018"
"30883","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198380","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","BABA VISHWANATH ENTERPRISES","Payment Success","686718"
"30884","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198383","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","BABA VISHWANATH ENTERPRISES","Payment Success","709113"
"30885","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/276439","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","18-Jun-2026","BABA VISHWANATH ENTERPRISES","Payment Success","705859"
"30886","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18224/2025-2026/276440","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","18-Jun-2026","BABA VISHWANATH ENTERPRISES","Payment Success","827484"
"30887","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18224/2025-2026/276441","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","18-Jun-2026","BABA VISHWANATH ENTERPRISES","Payment Success","827484"
"30888","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/276438","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","03-Jul-2026","BABA VISHWANATH ENTERPRISES","Payment Success","326000"
"30889","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/276442","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","18-Jun-2026","BABA VISHWANATH ENTERPRISES","Payment Success","1122549"
"30890","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2026-2027/279105","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","BABA VISHWANATH ENTERPRISES","Payment Success","457359"
"30891","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2026-2027/279110","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","VISHWANATH ENTERPRISES","Payment Success","1151686"
"30892","Uttar Pradesh","Lighting of public spaces","WS/MP18224/2025-2026/249483","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","17-Feb-2026","VISHWANATH ENTERPRISES","Payment Success","1052754"
"30893","Uttar Pradesh","Lighting of public spaces","WS/MP18224/2025-2026/249482","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","17-Feb-2026","VISHWANATH ENTERPRISES","Payment Success","1473048"
"30894","Uttar Pradesh","Lighting of public spaces","WS/MP18224/2025-2026/249480","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","17-Feb-2026","VISHWANATH ENTERPRISES","Payment Success","3796187"
"30895","Uttar Pradesh","Lighting of public spaces","WS/MP18224/2025-2026/249479","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","17-Feb-2026","VISHWANATH ENTERPRISES","Payment Success","2316729"
"30896","Uttar Pradesh","Lighting of public spaces","WS/MP18224/2025-2026/249481","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","17-Feb-2026","VISHWANATH ENTERPRISES","Payment Success","1890677"
"30897","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2026-2027/279103","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","VISHWANATH ENTERPRISES","Payment Success","855291"
"30898","Uttar Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18224/2026-2027/279121","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","05-Aug-2026","VISHWANATH ENTERPRISES","Payment Success","1791959"
"30899","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2026-2027/279109","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","04-Aug-2026","VISHWANATH ENTERPRISES","Payment Success","1315446"
"30900","Uttar Pradesh","Fitting of Sitting RCC Benches in Public Places","WS/MP18224/2025-2026/198385","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","VISHWANATH ENTERPRISES","Payment Success","2613557"
"30901","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198378","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","VISHWANATH ENTERPRISES","Payment Success","1497031"
"30902","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18224/2025-2026/198382","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","07-Aug-2025","VISHWANATH ENTERPRISES","Payment Success","1435069"
"30903","Uttar Pradesh","Fitting of Sitting RCC Benches in Public Places","WS/MP18224/2025-2026/198384","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","24-Sep-2025","VISHWANATH ENTERPRISES","Payment Success","4021222"
"30904","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18224/2025-2026/198373","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","RAMESH AWASTHI","KANPUR","24-Sep-2025","VISHWANATH ENTERPRISES","Payment Success","2471666"
"30905","Karnataka","Construction of community centers and community halls","WS/MP623/2026-2027/208680","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","18-Jun-2026","KIRAN TEJASWI YALIBALLI","Payment Success","371250"
"30906","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18019/2025-2026/220281","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","10-Jul-2026","Waisong Terang","Payment Success","700000"
"30907","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18019/2026-2027/216376","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","25-Jun-2026","Waisong Terang","Payment Success","347789"
"30908","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18019/2026-2027/216376","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","10-Jul-2026","Waisong Terang","Payment Success","1100000"
"30909","Assam","Installing tube-wells and borewells","WS/MP18019/2025-2026/216371","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","05-Sep-2025","Waisong Terang","Payment Success","355600"
"30910","Assam","Installing tube-wells and borewells","WS/MP18019/2025-2026/216375","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","05-Sep-2025","Waisong Terang","Payment Success","355600"
"30911","Assam","Installing tube-wells and borewells","WS/MP18019/2025-2026/216372","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","05-Sep-2025","Waisong Terang","Payment Success","355600"
"30912","Assam","Installing tube-wells and borewells","WS/MP18019/2025-2026/216372","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","05-Sep-2025","Waisong Terang","Payment Success","355600"
"30913","Assam","Installing tube-wells and borewells","WS/MP18019/2025-2026/216372","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","05-Sep-2025","Waisong Terang","Payment Success","355600"
"30914","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18019/2025-2026/216374","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","05-Sep-2025","Waisong Terang","Payment Success","703026"
"30915","Karnataka","Renovation of ponds and lakes","WS/MP18088/2025-2026/162282","CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA)","M. MALLESH BABU","KOLAR(SC)","05-Aug-2025","M V VENKATASWAMY CNT","Payment Success","249216"
"30916","Karnataka","Renovation of ponds and lakes","WS/MP18088/2025-2026/162282","CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA)","M. MALLESH BABU","KOLAR(SC)","13-Nov-2025","M V VENKATASWAMY CNT","Payment Success","247493"
"30917","Telangana","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18386/2024-2025/160114","NALGONDA(DISTRICT COLLECTOR NALGONDA)","KUNDURU RAGHUVEER","NALGONDA","04-Aug-2025","ALLIED SURGICALS","Payment Success","3870000"
"30918","Punjab","Installing community drinking water plants","WS/MP716/2024-2025/142670","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","08-Aug-2025","Jaspal Dass","Payment Success","13910"
"30919","Rajasthan","Purchase of smart boards, visual display units and projectors","WS/MP18160/2025-2026/198874","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","12-Aug-2025","ramdev infrastructure","Payment Success","300000"
"30920","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/200633","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","21-Aug-2025","Gram Panchayat Bhagani","Payment Success","300000"
"30921","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/200633","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","06-Jul-2026","Gram Panchayat Bhagani","Payment Success","300000"
"30922","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/200636","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","09-Sep-2025","Gram Panchayat Gojar","Payment Success","150000"
"30923","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/200636","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","12-Dec-2025","Gram Panchayat Gojar","Payment Success","150000"
"30924","Himachal Pradesh","Installing hand pumps","WS/MP598/2025-2026/211366","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","06-Sep-2025","Gram Panchayat Guruwala Singhpura","Payment Success","150000"
"30925","Himachal Pradesh","Installing hand pumps","WS/MP598/2025-2026/211366","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","18-Dec-2025","Gram Panchayat Guruwala Singhpura","Payment Success","50000"
"30926","Himachal Pradesh","Construction of community centers and community halls","WS/MP598/2025-2026/185816","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","17-Oct-2025","Gram Panchayat Bharog Baneri","Payment Success","200000"
"30927","Himachal Pradesh","Construction of community centers and community halls","WS/MP598/2025-2026/185816","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","25-Feb-2026","Gram Panchayat Bharog Baneri","Payment Success","200000"
"30928","Himachal Pradesh","Construction of community centers and community halls","WS/MP598/2025-2026/185816","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","16-Jul-2026","Gram Panchayat Bharog Baneri","Payment Success","100000"
"30929","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18170/2025-2026/164677","Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA)","AMRARAM","SIKAR","11-Aug-2025","surendra singh contractor","Payment Success","392479"
"30930","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196375","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","01-Sep-2025","sudiksa infra projects","Payment Success","564954"
"30931","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196360","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","01-Sep-2025","sudiksa infra projects","Payment Success","315023"
"30932","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196389","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","25-Feb-2026","sudiksa infra projects","Payment Success","248882"
"30933","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196384","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","25-Feb-2026","sudiksa infra projects","Payment Success","436090"
"30934","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196361","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","25-Mar-2026","sudiksa infra projects","Payment Success","695615"
"30935","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196374","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","25-Feb-2026","sudiksa infra projects","Payment Success","476221"
"30936","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196391","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","04-Oct-2025","sudiksa infra projects","Payment Success","615333"
"30937","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196382","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","01-Oct-2025","sudiksa infra projects","Payment Success","293076"
"30938","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196380","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","04-Oct-2025","sudiksa infra projects","Payment Success","409968"
"30939","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196362","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","22-Oct-2025","sudiksa infra projects","Payment Success","362062"
"30940","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196363","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","17-Nov-2025","sudiksa infra projects","Payment Success","453385"
"30941","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196378","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","17-Nov-2025","sudiksa infra projects","Payment Success","780000"
"30942","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196377","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","04-Apr-2026","sudiksa infra projects","Payment Success","906229"
"30943","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/196376","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","22-Oct-2025","sudiksa infra projects","Payment Success","546258"
"30944","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260703","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","23-Jul-2026","sudiksa infra projects","Payment Success","697236"
"30945","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260706","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","23-Jul-2026","sudiksa infra projects","Payment Success","455805"
"30946","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260704","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","04-Jul-2026","sudiksa infra projects","Payment Success","382788"
"30947","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260700","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","20-Apr-2026","sudiksa infra projects","Payment Success","457316"
"30948","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260688","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","20-Apr-2026","sudiksa infra projects","Payment Success","397484"
"30949","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260687","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","23-Jul-2026","sudiksa infra projects","Payment Success","747492"
"30950","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260686","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","23-Jul-2026","sudiksa infra projects","Payment Success","332744"
